lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,lambda_reg,epoch,val_loss
2.4597549999999995e-06,49,,,,,,,,,
2.4597549999999995e-06,49,,,,,,,,,
2.4597549999999995e-06,49,,,,,,,,,
,49,2.9201431274414062,0.00022062037896830589,1.1129803657531738,0.8552823662757874,0.951659619808197,6.0,1.0,0,
,68,,,,,,,,0,1.1067668199539185
4.959504999999999e-06,99,,,,,,,,,
4.959504999999999e-06,99,,,,,,,,,
4.959504999999999e-06,99,,,,,,,,,
,99,2.581608295440674,0.004032168537378311,1.0514447689056396,0.7841016054153442,0.7420297861099243,6.0,1.0,1,
,137,,,,,,,,1,0.9953120946884155
7.459254999999993e-06,149,,,,,,,,,
7.459254999999993e-06,149,,,,,,,,,
7.459254999999993e-06,149,,,,,,,,,
,149,2.303081512451172,0.00034295208752155304,0.9404747486114502,0.7694666981697083,0.592797040939331,6.0,1.0,2,
9.959004999999994e-06,199,,,,,,,,,
9.959004999999994e-06,199,,,,,,,,,
9.959004999999994e-06,199,,,,,,,,,
,199,2.1691079139709473,0.0006399281555786729,0.862514078617096,0.7440875768661499,0.561866283416748,6.0,1.0,2,
,206,,,,,,,,2,0.908336877822876
1.2458755000000009e-05,249,,,,,,,,,
1.2458755000000009e-05,249,,,,,,,,,
1.2458755000000009e-05,249,,,,,,,,,
,249,2.05462384223938,0.016047392040491104,0.8349041938781738,0.7278416156768799,0.47583064436912537,6.0,1.0,3,
,275,,,,,,,,3,0.8982489109039307
1.4958504999999994e-05,299,,,,,,,,,
1.4958504999999994e-05,299,,,,,,,,,
1.4958504999999994e-05,299,,,,,,,,,
,299,2.049858570098877,0.02322745881974697,0.9129791259765625,0.7257825136184692,0.38786953687667847,6.0,1.0,4,
,344,,,,,,,,4,0.8870190978050232
1.7458254999999992e-05,349,,,,,,,,,
1.7458254999999992e-05,349,,,,,,,,,
1.7458254999999992e-05,349,,,,,,,,,
,349,1.9034847021102905,0.0013465280644595623,0.8357746005058289,0.7057820558547974,0.36058151721954346,6.0,1.0,5,
1.9958005000000005e-05,399,,,,,,,,,
1.9958005000000005e-05,399,,,,,,,,,
1.9958005000000005e-05,399,,,,,,,,,
,399,1.9319225549697876,0.0011971360072493553,0.8787692189216614,0.7314407825469971,0.32051536440849304,6.0,1.0,5,
,413,,,,,,,,5,0.9260789752006531
2.2457754999999994e-05,449,,,,,,,,,
2.2457754999999994e-05,449,,,,,,,,,
2.2457754999999994e-05,449,,,,,,,,,
,449,2.324974775314331,0.4050038158893585,0.8877483010292053,0.7376172542572021,0.29460540413856506,6.0,1.0,6,
,482,,,,,,,,6,1.5624607801437378
2.4957504999999976e-05,499,,,,,,,,,
2.4957504999999976e-05,499,,,,,,,,,
2.4957504999999976e-05,499,,,,,,,,,
,499,2.8442914485931396,0.8337329626083374,0.8788426518440247,0.7791769504547119,0.3525388836860657,6.0,1.0,7,
2.745725499999997e-05,549,,,,,,,,,
2.745725499999997e-05,549,,,,,,,,,
2.745725499999997e-05,549,,,,,,,,,
,549,6.1002020835876465,0.14097845554351807,0.8950691223144531,3.176992893218994,1.8871618509292603,6.0,1.0,7,
,551,,,,,,,,7,1.8156464099884033
2.9957004999999947e-05,599,,,,,,,,,
2.9957004999999947e-05,599,,,,,,,,,
2.9957004999999947e-05,599,,,,,,,,,
,599,2.759906530380249,0.4710482358932495,1.0468806028366089,0.8641597628593445,0.37781786918640137,6.0,1.0,8,
,620,,,,,,,,8,1.9099605083465576
3.245675499999995e-05,649,,,,,,,,,
3.245675499999995e-05,649,,,,,,,,,
3.245675499999995e-05,649,,,,,,,,,
,649,428.4284362792969,408.6357421875,5.2027387619018555,8.85385513305664,5.736110210418701,6.0,1.0,9,
,689,,,,,,,,9,299.0086669921875
3.495650499999994e-05,699,,,,,,,,,
3.495650499999994e-05,699,,,,,,,,,
3.495650499999994e-05,699,,,,,,,,,
,699,120.26239013671875,108.73007202148438,4.152764797210693,3.7338180541992188,3.645740509033203,6.0,1.0,10,
3.745625499999992e-05,749,,,,,,,,,
3.745625499999992e-05,749,,,,,,,,,
3.745625499999992e-05,749,,,,,,,,,
,749,2643.649658203125,26.50851058959961,346.5663757324219,1365.4439697265625,905.1307983398438,7.0,1.0,10,
,758,,,,,,,,10,1843.059814453125
3.9956004999999894e-05,799,,,,,,,,,
3.9956004999999894e-05,799,,,,,,,,,
3.9956004999999894e-05,799,,,,,,,,,
,799,3442069.5,3360009.5,38886.16796875,21670.6640625,21503.109375,7.0,1.0,11,
,827,,,,,,,,11,663099.5
4.245575499999985e-05,849,,,,,,,,,
4.245575499999985e-05,849,,,,,,,,,
4.245575499999985e-05,849,,,,,,,,,
,849,22343556.0,22334150.0,3573.61962890625,3018.291748046875,2814.108642578125,7.0,1.0,12,
,896,,,,,,,,12,16972612.0
4.495550499999983e-05,899,,,,,,,,,
4.495550499999983e-05,899,,,,,,,,,
4.495550499999983e-05,899,,,,,,,,,
,899,79875104.0,76331312.0,1986738.875,761407.6875,795650.25,7.0,1.0,13,
4.7455254999999786e-05,949,,,,,,,,,
4.7455254999999786e-05,949,,,,,,,,,
4.7455254999999786e-05,949,,,,,,,,,
,949,434779808.0,428843104.0,3808030.5,979699.3125,1148971.0,7.0,1.0,13,
,965,,,,,,,,13,13017472.0
4.9955004999999796e-05,999,,,,,,,,,
4.9955004999999796e-05,999,,,,,,,,,
4.9955004999999796e-05,999,,,,,,,,,
,999,11074435072.0,10934021120.0,79123056.0,31293464.0,29997014.0,7.0,1.0,14,
,1034,,,,,,,,14,12782265171968.0
5.245475499999979e-05,1049,,,,,,,,,
5.245475499999979e-05,1049,,,,,,,,,
5.245475499999979e-05,1049,,,,,,,,,
,1049,3553027162112.0,2899952009216.0,310556622848.0,169921069056.0,172597805056.0,7.0,1.0,15,
5.4954504999999814e-05,1099,,,,,,,,,
5.4954504999999814e-05,1099,,,,,,,,,
5.4954504999999814e-05,1099,,,,,,,,,
,1099,539730411520.0,538853310464.0,209253984.0,326072256.0,341769024.0,7.0,1.0,15,
,1103,,,,,,,,15,650202240.0
5.745425499999982e-05,1149,,,,,,,,,
5.745425499999982e-05,1149,,,,,,,,,
5.745425499999982e-05,1149,,,,,,,,,
,1149,399697641472.0,78502838272.0,36635357184.0,261393563648.0,23165853696.0,7.0,1.0,16,
,1172,,,,,,,,16,18147164160.0
5.995400499999984e-05,1199,,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,,
,1199,1.0322193171328532e+20,1.0321116529542614e+20,5473327544008704.0,2770699240341504.0,2527081984425984.0,7.0,1.0,17,
,1241,,,,,,,,17,1.5432604547284992e+16
6.245375499999984e-05,1249,,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,,
,1249,3.5489835488957845e+22,3.548980846736008e+22,7008876062834688.0,9952729862504448.0,1.0567158220193792e+16,7.0,1.0,18,
6.495350499999981e-05,1299,,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,,
