lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,N_steps,epoch,val_loss
2.4597549999999995e-06,49,,,,,,,,
2.4597549999999995e-06,49,,,,,,,,
2.4597549999999995e-06,49,,,,,,,,
,49,2.6847612857818604,0.0003494815027806908,1.0678613185882568,0.8528751134872437,0.7636752724647522,6.0,0,
,68,,,,,,,0,1.0678365230560303
4.959504999999999e-06,99,,,,,,,,
4.959504999999999e-06,99,,,,,,,,
4.959504999999999e-06,99,,,,,,,,
,99,2.518986225128174,0.0034992191940546036,1.0210307836532593,0.8056957721710205,0.6887603402137756,6.0,1,
,137,,,,,,,1,0.9732910394668579
7.459254999999993e-06,149,,,,,,,,
7.459254999999993e-06,149,,,,,,,,
7.459254999999993e-06,149,,,,,,,,
,149,2.429741382598877,0.006034085527062416,0.9555985927581787,0.8037261962890625,0.6643824577331543,6.0,2,
9.959004999999994e-06,199,,,,,,,,
9.959004999999994e-06,199,,,,,,,,
9.959004999999994e-06,199,,,,,,,,
,199,2.361833095550537,0.009250493720173836,0.9848527312278748,0.7859285473823547,0.5818012356758118,6.0,2,
,206,,,,,,,2,0.9139734506607056
1.2458755000000009e-05,249,,,,,,,,
1.2458755000000009e-05,249,,,,,,,,
1.2458755000000009e-05,249,,,,,,,,
,249,2.152595281600952,0.010366866365075111,0.9058840274810791,0.7352229356765747,0.501121461391449,6.0,3,
,275,,,,,,,3,0.8965280055999756
1.4958504999999994e-05,299,,,,,,,,
1.4958504999999994e-05,299,,,,,,,,
1.4958504999999994e-05,299,,,,,,,,
,299,1.9953770637512207,0.009808020666241646,0.8380420804023743,0.7166741490364075,0.43085283041000366,6.0,4,
,344,,,,,,,4,0.8852466344833374
1.7458254999999992e-05,349,,,,,,,,
1.7458254999999992e-05,349,,,,,,,,
1.7458254999999992e-05,349,,,,,,,,
,349,1.9315409660339355,0.0010144185507670045,0.857155978679657,0.7299346923828125,0.3434358835220337,6.0,5,
1.9958005000000005e-05,399,,,,,,,,
1.9958005000000005e-05,399,,,,,,,,
1.9958005000000005e-05,399,,,,,,,,
,399,1.9797308444976807,0.013785388320684433,0.9034444093704224,0.7357832193374634,0.3267178535461426,6.0,5,
,413,,,,,,,5,0.8818522095680237
2.2457754999999994e-05,449,,,,,,,,
2.2457754999999994e-05,449,,,,,,,,
2.2457754999999994e-05,449,,,,,,,,
,449,1.8782198429107666,0.004094420932233334,0.8577169179916382,0.7152659296989441,0.30114251375198364,6.0,6,
,482,,,,,,,6,0.885991096496582
2.4957504999999976e-05,499,,,,,,,,
2.4957504999999976e-05,499,,,,,,,,
2.4957504999999976e-05,499,,,,,,,,
,499,1.8023009300231934,0.033395059406757355,0.8019272089004517,0.7010148167610168,0.2659638524055481,6.0,7,
2.745725499999997e-05,549,,,,,,,,
2.745725499999997e-05,549,,,,,,,,
2.745725499999997e-05,549,,,,,,,,
,549,4.471429347991943,0.08479193598031998,0.9120529294013977,2.2379252910614014,1.236659049987793,6.0,7,
,551,,,,,,,7,0.9467877745628357
2.9957004999999947e-05,599,,,,,,,,
2.9957004999999947e-05,599,,,,,,,,
2.9957004999999947e-05,599,,,,,,,,
,599,18.353471755981445,15.576761245727539,1.064344882965088,1.0634269714355469,0.6489391326904297,6.0,8,
,620,,,,,,,8,1.4029098749160767
3.245675499999995e-05,649,,,,,,,,
3.245675499999995e-05,649,,,,,,,,
3.245675499999995e-05,649,,,,,,,,
,649,1.9615824222564697,0.009437274187803268,0.9499106407165527,0.7164595723152161,0.28577497601509094,6.0,9,
,689,,,,,,,9,0.883597731590271
3.495650499999994e-05,699,,,,,,,,
3.495650499999994e-05,699,,,,,,,,
3.495650499999994e-05,699,,,,,,,,
,699,1.8210541009902954,0.019998157396912575,0.8663338422775269,0.7119529843330383,0.22276915609836578,6.0,10,
3.745625499999992e-05,749,,,,,,,,
3.745625499999992e-05,749,,,,,,,,
3.745625499999992e-05,749,,,,,,,,
,749,1.8450223207473755,0.0381806381046772,0.8601323366165161,0.7176505923271179,0.22905872762203217,7.0,10,
,758,,,,,,,10,0.8973454833030701
3.9956004999999894e-05,799,,,,,,,,
3.9956004999999894e-05,799,,,,,,,,
3.9956004999999894e-05,799,,,,,,,,
,799,1.7479177713394165,0.006909557152539492,0.8661719560623169,0.6865687966346741,0.18826749920845032,7.0,11,
,827,,,,,,,11,0.8744519948959351
4.245575499999985e-05,849,,,,,,,,
4.245575499999985e-05,849,,,,,,,,
4.245575499999985e-05,849,,,,,,,,
,849,1.7288429737091064,0.032130658626556396,0.8158149123191833,0.6853436231613159,0.19555377960205078,7.0,12,
,896,,,,,,,12,0.8697265982627869
4.495550499999983e-05,899,,,,,,,,
4.495550499999983e-05,899,,,,,,,,
4.495550499999983e-05,899,,,,,,,,
,899,1.7392696142196655,0.0339936725795269,0.8543948531150818,0.6767122149467468,0.1741689294576645,7.0,13,
4.7455254999999786e-05,949,,,,,,,,
4.7455254999999786e-05,949,,,,,,,,
4.7455254999999786e-05,949,,,,,,,,
,949,1.770717740058899,0.030500445514917374,0.8910137414932251,0.6919741630554199,0.15722930431365967,7.0,13,
,965,,,,,,,13,0.8646227121353149
4.9955004999999796e-05,999,,,,,,,,
4.9955004999999796e-05,999,,,,,,,,
4.9955004999999796e-05,999,,,,,,,,
,999,1.689823031425476,0.025901641696691513,0.858180820941925,0.6689058542251587,0.13683472573757172,7.0,14,
,1034,,,,,,,14,0.8605594635009766
5.245475499999979e-05,1049,,,,,,,,
5.245475499999979e-05,1049,,,,,,,,
5.245475499999979e-05,1049,,,,,,,,
,1049,1.6973274946212769,0.026576951146125793,0.8877203464508057,0.6572255492210388,0.12580467760562897,7.0,15,
5.4954504999999814e-05,1099,,,,,,,,
5.4954504999999814e-05,1099,,,,,,,,
5.4954504999999814e-05,1099,,,,,,,,
,1099,1.580514907836914,0.024972431361675262,0.7845303416252136,0.6595984101295471,0.11141368746757507,7.0,15,
,1103,,,,,,,15,0.861140251159668
5.745425499999982e-05,1149,,,,,,,,
5.745425499999982e-05,1149,,,,,,,,
5.745425499999982e-05,1149,,,,,,,,
,1149,1.624362587928772,0.007775621954351664,0.851107656955719,0.6585988998413086,0.10688044875860214,7.0,16,
,1172,,,,,,,16,0.8535894155502319
5.995400499999984e-05,1199,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,
,1199,1.557414174079895,0.02250853180885315,0.7999451756477356,0.6408709287643433,0.09408946335315704,7.0,17,
,1241,,,,,,,17,0.8659295439720154
6.245375499999984e-05,1249,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,
6.245375499999984e-05,1249,,,,,,,,
,1249,1.5820995569229126,0.022096632048487663,0.8235705494880676,0.646379292011261,0.09005311131477356,7.0,18,
6.495350499999981e-05,1299,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,
6.495350499999981e-05,1299,,,,,,,,
,1299,1.5948326587677002,0.021139582619071007,0.8472648859024048,0.652296781539917,0.07413152605295181,7.0,18,
,1310,,,,,,,18,0.8530397415161133
6.745325499999981e-05,1349,,,,,,,,
6.745325499999981e-05,1349,,,,,,,,
