lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
9.999999999999994e-05,9799,,,,,,,,,
9.999999999999994e-05,9799,,,,,,,,,
9.999999999999994e-05,9799,,,,,,,,,
,9799,0.35761308670043945,0.10204970836639404,0.13888391852378845,0.11316955089569092,0.0034008570946753025,0.00010903352085733786,14.0,142,
9.999999999999994e-05,9849,,,,,,,,,
9.999999999999994e-05,9849,,,,,,,,,
9.999999999999994e-05,9849,,,,,,,,,
,9849,0.26513710618019104,0.010781239718198776,0.14127080142498016,0.11055366694927216,0.002435412025079131,9.59758399403654e-05,14.0,142,
,9866,,,,,,,,142,0.890494167804718
9.999999999999994e-05,9899,,,,,,,,,
9.999999999999994e-05,9899,,,,,,,,,
9.999999999999994e-05,9899,,,,,,,,,
,9899,0.3367510437965393,0.09625191241502762,0.13371872901916504,0.10436221957206726,0.002318753395229578,9.943895565811545e-05,14.0,143,
,9935,,,,,,,,143,0.8909226059913635
9.999999999999994e-05,9949,,,,,,,,,
9.999999999999994e-05,9949,,,,,,,,,
9.999999999999994e-05,9949,,,,,,,,,
,9949,0.3331144452095032,0.11539041996002197,0.10625744611024857,0.10879567265510559,0.002579058986157179,9.185920498566702e-05,14.0,144,
9.999999999999994e-05,9999,,,,,,,,,
9.999999999999994e-05,9999,,,,,,,,,
9.999999999999994e-05,9999,,,,,,,,,
,9999,0.24144113063812256,0.011592218652367592,0.111967071890831,0.1151033341884613,0.00268318853341043,9.530313400318846e-05,14.0,144,
,10004,,,,,,,,144,0.8838922381401062
9.999999999999994e-05,10049,,,,,,,,,
9.999999999999994e-05,10049,,,,,,,,,
9.999999999999994e-05,10049,,,,,,,,,
,10049,0.33118537068367004,0.09367536753416061,0.13451434671878815,0.10050477087497711,0.002390942769125104,9.997165761888027e-05,14.0,145,
,10073,,,,,,,,145,0.8939642310142517
9.999999999999994e-05,10099,,,,,,,,,
9.999999999999994e-05,10099,,,,,,,,,
9.999999999999994e-05,10099,,,,,,,,,
,10099,0.23494231700897217,0.007188866846263409,0.12312526255846024,0.10198620706796646,0.0025518229231238365,9.014862007461488e-05,14.0,146,
,10142,,,,,,,,146,0.893200159072876
9.999999999999994e-05,10149,,,,,,,,,
9.999999999999994e-05,10149,,,,,,,,,
9.999999999999994e-05,10149,,,,,,,,,
,10149,0.3304765224456787,0.11252808570861816,0.10886955261230469,0.10663456469774246,0.002229984849691391,0.00021432530775200576,14.0,147,
9.999999999999994e-05,10199,,,,,,,,,
9.999999999999994e-05,10199,,,,,,,,,
9.999999999999994e-05,10199,,,,,,,,,
,10199,0.26980075240135193,0.010245302692055702,0.13573402166366577,0.1209227591753006,0.002803428564220667,9.524517372483388e-05,14.0,147,
,10211,,,,,,,,147,0.8987394571304321
9.999999999999994e-05,10249,,,,,,,,,
9.999999999999994e-05,10249,,,,,,,,,
9.999999999999994e-05,10249,,,,,,,,,
,10249,0.35112428665161133,0.11038661748170853,0.1293756365776062,0.1087057888507843,0.0025665380526334047,8.971226634457707e-05,14.0,148,
,10280,,,,,,,,148,0.8915674090385437
9.999999999999994e-05,10299,,,,,,,,,
9.999999999999994e-05,10299,,,,,,,,,
9.999999999999994e-05,10299,,,,,,,,,
,10299,0.29078659415245056,0.09114119410514832,0.10086797177791595,0.09603090584278107,0.002653505653142929,9.300784586230293e-05,14.0,149,
9.999999999999994e-05,10349,,,,,,,,,
9.999999999999994e-05,10349,,,,,,,,,
9.999999999999994e-05,10349,,,,,,,,,
,10349,0.20283347368240356,0.0064634704031050205,0.09948250651359558,0.0941479355096817,0.00264954986050725,9.002172009786591e-05,14.0,149,
,10349,,,,,,,,149,0.8915412425994873
9.999999999999994e-05,10399,,,,,,,,,
9.999999999999994e-05,10399,,,,,,,,,
9.999999999999994e-05,10399,,,,,,,,,
,10399,0.31685009598731995,0.09116072952747345,0.12443307042121887,0.09883706271648407,0.002331639640033245,8.759873890085146e-05,14.0,150,
,10418,,,,,,,,150,0.9003406167030334
9.999999999999994e-05,10449,,,,,,,,,
9.999999999999994e-05,10449,,,,,,,,,
9.999999999999994e-05,10449,,,,,,,,,
,10449,0.19685380160808563,0.006663929671049118,0.09635866433382034,0.09120331704616547,0.0025406954810023308,8.720558980712667e-05,14.0,151,
,10487,,,,,,,,151,0.8947387933731079
9.999999999999994e-05,10499,,,,,,,,,
9.999999999999994e-05,10499,,,,,,,,,
9.999999999999994e-05,10499,,,,,,,,,
,10499,0.26905104517936707,0.07969836890697479,0.09687274694442749,0.08955864608287811,0.002833923324942589,8.735830488149077e-05,14.0,152,
9.999999999999994e-05,10549,,,,,,,,,
9.999999999999994e-05,10549,,,,,,,,,
9.999999999999994e-05,10549,,,,,,,,,
,10549,0.29319411516189575,0.08053036034107208,0.1242833286523819,0.08593535423278809,0.0022665471769869328,0.0001785283675417304,14.0,152,
,10556,,,,,,,,152,0.8978017568588257
9.999999999999994e-05,10599,,,,,,,,,
9.999999999999994e-05,10599,,,,,,,,,
9.999999999999994e-05,10599,,,,,,,,,
,10599,0.3301379680633545,0.10531218349933624,0.12259085476398468,0.0990677922964096,0.00308026559650898,8.688212983543053e-05,14.0,153,
,10625,,,,,,,,153,0.9081165790557861
9.999999999999994e-05,10649,,,,,,,,,
9.999999999999994e-05,10649,,,,,,,,,
9.999999999999994e-05,10649,,,,,,,,,
,10649,0.288906991481781,0.09487727284431458,0.0976799726486206,0.09376165270805359,0.0025076097808778286,8.048852032516152e-05,14.0,154,
,10694,,,,,,,,154,0.8961746692657471
9.999999999999994e-05,10699,,,,,,,,,
9.999999999999994e-05,10699,,,,,,,,,
9.999999999999994e-05,10699,,,,,,,,,
,10699,0.20944362878799438,0.006198697257786989,0.11286548525094986,0.08803752064704895,0.00225976575165987,8.21621433715336e-05,14.0,155,
9.999999999999994e-05,10749,,,,,,,,,
9.999999999999994e-05,10749,,,,,,,,,
9.999999999999994e-05,10749,,,,,,,,,
,10749,0.2885720729827881,0.08616191148757935,0.11103440076112747,0.08902513980865479,0.0022695777006447315,8.105853339657187e-05,14.0,155,
,10763,,,,,,,,155,0.8956928253173828
9.999999999999994e-05,10799,,,,,,,,,
9.999999999999994e-05,10799,,,,,,,,,
9.999999999999994e-05,10799,,,,,,,,,
,10799,0.33145758509635925,0.10153885930776596,0.1195676326751709,0.10719699412584305,0.0030688836704939604,8.520369010511786e-05,14.0,156,
,10832,,,,,,,,156,0.8983070254325867
9.999999999999994e-05,10849,,,,,,,,,
9.999999999999994e-05,10849,,,,,,,,,
9.999999999999994e-05,10849,,,,,,,,,
,10849,0.3016916513442993,0.09585711359977722,0.11251373589038849,0.09100005775690079,0.0022326591424643993,8.80537845660001e-05,14.0,157,
9.999999999999994e-05,10899,,,,,,,,,
9.999999999999994e-05,10899,,,,,,,,,
9.999999999999994e-05,10899,,,,,,,,,
,10899,0.30199822783470154,0.093204565346241,0.11297468841075897,0.09349440038204193,0.0022163623943924904,0.00010817311704158783,14.0,157,
,10901,,,,,,,,157,0.9031225442886353
9.999999999999994e-05,10949,,,,,,,,,
9.999999999999994e-05,10949,,,,,,,,,
9.999999999999994e-05,10949,,,,,,,,,
,10949,0.3115409016609192,0.11342670023441315,0.10232460498809814,0.09351665526628494,0.002195026958361268,7.789217488607392e-05,14.0,158,
,10970,,,,,,,,158,0.899420976638794
9.999999999999994e-05,10999,,,,,,,,,
9.999999999999994e-05,10999,,,,,,,,,
9.999999999999994e-05,10999,,,,,,,,,
,10999,0.22820964455604553,0.009947513230144978,0.11434991657733917,0.10163503885269165,0.002205073367804289,7.209119212348014e-05,14.0,159,
,11039,,,,,,,,159,0.9127285480499268
9.999999999999994e-05,11049,,,,,,,,,
9.999999999999994e-05,11049,,,,,,,,,
9.999999999999994e-05,11049,,,,,,,,,
,11049,0.28036102652549744,0.08388322591781616,0.09394810348749161,0.10014691948890686,0.0023069612216204405,7.581811951240525e-05,14.0,160,
9.999999999999994e-05,11099,,,,,,,,,
9.999999999999994e-05,11099,,,,,,,,,
9.999999999999994e-05,11099,,,,,,,,,
,11099,0.3234279453754425,0.10286301374435425,0.11406750231981277,0.1038525402545929,0.0025715650990605354,7.33507185941562e-05,14.0,160,
,11108,,,,,,,,160,0.9029756784439087
9.999999999999994e-05,11149,,,,,,,,,
9.999999999999994e-05,11149,,,,,,,,,
9.999999999999994e-05,11149,,,,,,,,,
,11149,0.20997124910354614,0.006670690141618252,0.10907279700040817,0.09144584834575653,0.002710277447476983,7.16238864697516e-05,14.0,161,
,11177,,,,,,,,161,0.8985897302627563
9.999999999999994e-05,11199,,,,,,,,,
9.999999999999994e-05,11199,,,,,,,,,
9.999999999999994e-05,11199,,,,,,,,,
,11199,0.2571605443954468,0.07182766497135162,0.10837048292160034,0.07460390031337738,0.002286168048158288,7.23388438927941e-05,14.0,162,
,11246,,,,,,,,162,0.908048689365387
9.999999999999994e-05,11249,,,,,,,,,
9.999999999999994e-05,11249,,,,,,,,,
9.999999999999994e-05,11249,,,,,,,,,
,11249,0.27639806270599365,0.08313527703285217,0.10747532546520233,0.08330974727869034,0.0024048564955592155,7.28267987142317e-05,14.0,163,
9.999999999999994e-05,11299,,,,,,,,,
9.999999999999994e-05,11299,,,,,,,,,
9.999999999999994e-05,11299,,,,,,,,,
,11299,0.2819799482822418,0.0787489116191864,0.11727917194366455,0.08360353112220764,0.0022556849289685488,9.265252447221428e-05,14.0,163,
,11315,,,,,,,,163,0.9184094071388245
9.999999999999994e-05,11349,,,,,,,,,
9.999999999999994e-05,11349,,,,,,,,,
9.999999999999994e-05,11349,,,,,,,,,
,11349,0.19624024629592896,0.005852315109223127,0.08714072406291962,0.10085691511631012,0.0023153426591306925,7.494761666748673e-05,14.0,164,
,11384,,,,,,,,164,0.8995412588119507
9.999999999999994e-05,11399,,,,,,,,,
9.999999999999994e-05,11399,,,,,,,,,
9.999999999999994e-05,11399,,,,,,,,,
,11399,0.3082313537597656,0.10712166130542755,0.1002640351653099,0.09794410318136215,0.0028277498204261065,7.378251757472754e-05,14.0,165,
9.999999999999994e-05,11449,,,,,,,,,
9.999999999999994e-05,11449,,,,,,,,,
9.999999999999994e-05,11449,,,,,,,,,
,11449,0.2684922516345978,0.08136457204818726,0.10163497924804688,0.0832507312297821,0.0021752393804490566,6.671340088360012e-05,14.0,165,
,11453,,,,,,,,165,0.9231398105621338
9.999999999999994e-05,11499,,,,,,,,,
9.999999999999994e-05,11499,,,,,,,,,
9.999999999999994e-05,11499,,,,,,,,,
,11499,0.2523825466632843,0.07034420967102051,0.10260085016489029,0.07687817513942719,0.002494202693924308,6.511463288916275e-05,15.0,166,
,11522,,,,,,,,166,0.9081617593765259
9.999999999999994e-05,11549,,,,,,,,,
9.999999999999994e-05,11549,,,,,,,,,
9.999999999999994e-05,11549,,,,,,,,,
,11549,0.2819312810897827,0.10100814700126648,0.09652015566825867,0.08156505227088928,0.002751132007688284,8.676962170284241e-05,15.0,167,
,11591,,,,,,,,167,0.9098339676856995
9.999999999999994e-05,11599,,,,,,,,,
9.999999999999994e-05,11599,,,,,,,,,
9.999999999999994e-05,11599,,,,,,,,,
,11599,0.2752395570278168,0.07777026295661926,0.11640216410160065,0.07773399353027344,0.0032534985803067684,7.96410531620495e-05,15.0,168,
9.999999999999994e-05,11649,,,,,,,,,
9.999999999999994e-05,11649,,,,,,,,,
9.999999999999994e-05,11649,,,,,,,,,
,11649,0.1846180558204651,0.008834479376673698,0.09462475031614304,0.07903052866458893,0.002062153536826372,6.614816811634228e-05,15.0,168,
