lr-Adam,step,train_loss,L_comp,L_IC,L_phys,L_obs,L_ae,N_steps,epoch,val_loss
2.4597549999999995e-06,49,,,,,,,,,
2.4597549999999995e-06,49,,,,,,,,,
2.4597549999999995e-06,49,,,,,,,,,
,49,2.607755661010742,0.4285399913787842,0.7991552352905273,0.17936617136001587,0.19440758228302002,1.00628662109375,6.0,0,
,70,,,,,,,,0,0.8808668255805969
4.959504999999999e-06,99,,,,,,,,,
4.959504999999999e-06,99,,,,,,,,,
4.959504999999999e-06,99,,,,,,,,,
,99,1.509297490119934,0.2356838881969452,0.28263556957244873,0.06244106963276863,0.07923581451177597,0.8493011593818665,6.0,1,
,141,,,,,,,,1,0.3401361107826233
7.459254999999993e-06,149,,,,,,,,,
7.459254999999993e-06,149,,,,,,,,,
7.459254999999993e-06,149,,,,,,,,,
,149,1.99043869972229,0.22876454889774323,0.46101540327072144,0.06673268228769302,0.0668802559375763,1.1670458316802979,6.0,2,
9.959004999999994e-06,199,,,,,,,,,
9.959004999999994e-06,199,,,,,,,,,
9.959004999999994e-06,199,,,,,,,,,
,199,1.4545912742614746,0.16354888677597046,0.27216237783432007,0.046469852328300476,0.05206502974033356,0.92034512758255,6.0,2,
,212,,,,,,,,2,0.26580438017845154
1.2458755000000009e-05,249,,,,,,,,,
1.2458755000000009e-05,249,,,,,,,,,
1.2458755000000009e-05,249,,,,,,,,,
,249,1.0520176887512207,0.14107972383499146,0.13994422554969788,0.04697590321302414,0.04014861583709717,0.6838691830635071,6.0,3,
,283,,,,,,,,3,0.26601922512054443
1.4958504999999994e-05,299,,,,,,,,,
1.4958504999999994e-05,299,,,,,,,,,
1.4958504999999994e-05,299,,,,,,,,,
,299,1.0882649421691895,0.1361786276102066,0.2684788107872009,0.03994164615869522,0.03928461670875549,0.6043812036514282,6.0,4,
1.7458254999999992e-05,349,,,,,,,,,
1.7458254999999992e-05,349,,,,,,,,,
1.7458254999999992e-05,349,,,,,,,,,
,349,0.5701053738594055,0.17076125741004944,0.11738111823797226,0.038899991661310196,0.032262172549963,0.21080084145069122,6.0,4,
,354,,,,,,,,4,0.2504279315471649
1.9958005000000005e-05,399,,,,,,,,,
1.9958005000000005e-05,399,,,,,,,,,
1.9958005000000005e-05,399,,,,,,,,,
,399,0.48186618089675903,0.12536685168743134,0.24666692316532135,0.03667251765727997,0.034144725650548935,0.03901512920856476,6.0,5,
,425,,,,,,,,5,0.14944595098495483
2.2457754999999994e-05,449,,,,,,,,,
2.2457754999999994e-05,449,,,,,,,,,
2.2457754999999994e-05,449,,,,,,,,,
,449,0.41090837121009827,0.09123785048723221,0.24789899587631226,0.027676595374941826,0.0252532996237278,0.01884164847433567,6.0,6,
,496,,,,,,,,6,0.0961780995130539
2.4957504999999976e-05,499,,,,,,,,,
2.4957504999999976e-05,499,,,,,,,,,
2.4957504999999976e-05,499,,,,,,,,,
,499,0.43826642632484436,0.1412360966205597,0.19986592233181,0.040091466158628464,0.03819100931286812,0.01888195239007473,6.0,7,
2.745725499999997e-05,549,,,,,,,,,
2.745725499999997e-05,549,,,,,,,,,
2.745725499999997e-05,549,,,,,,,,,
,549,0.34007343649864197,0.09258443117141724,0.17415279150009155,0.029997002333402634,0.026189729571342468,0.01714947260916233,6.0,7,
,567,,,,,,,,7,0.12524154782295227
2.9957004999999947e-05,599,,,,,,,,,
2.9957004999999947e-05,599,,,,,,,,,
2.9957004999999947e-05,599,,,,,,,,,
,599,0.3434295654296875,0.12501467764377594,0.13364163041114807,0.031404346227645874,0.03955851495265961,0.013810382224619389,6.0,8,
,638,,,,,,,,8,0.1353977918624878
3.245675499999995e-05,649,,,,,,,,,
3.245675499999995e-05,649,,,,,,,,,
3.245675499999995e-05,649,,,,,,,,,
,649,0.31078797578811646,0.11188852787017822,0.10714109241962433,0.03779197484254837,0.03843457251787186,0.015531820245087147,7.0,9,
3.495650499999994e-05,699,,,,,,,,,
3.495650499999994e-05,699,,,,,,,,,
3.495650499999994e-05,699,,,,,,,,,
,699,0.31284916400909424,0.09355218708515167,0.1497652530670166,0.027228614315390587,0.025530047714710236,0.01677306741476059,7.0,9,
,709,,,,,,,,9,0.11331202834844589
3.745625499999992e-05,749,,,,,,,,,
3.745625499999992e-05,749,,,,,,,,,
3.745625499999992e-05,749,,,,,,,,,
,749,0.29682523012161255,0.07497180998325348,0.15775232017040253,0.0282250065356493,0.02226337417960167,0.013612720184028149,7.0,10,
,780,,,,,,,,10,0.1443866640329361
3.9956004999999894e-05,799,,,,,,,,,
3.9956004999999894e-05,799,,,,,,,,,
3.9956004999999894e-05,799,,,,,,,,,
,799,0.23317788541316986,0.06766434758901596,0.10457632690668106,0.02538786083459854,0.02276807278394699,0.012781270779669285,7.0,11,
4.245575499999985e-05,849,,,,,,,,,
4.245575499999985e-05,849,,,,,,,,,
4.245575499999985e-05,849,,,,,,,,,
,849,0.2890637218952179,0.07107049971818924,0.1557885855436325,0.026941586285829544,0.022539503872394562,0.012723539024591446,7.0,11,
,851,,,,,,,,11,0.12686794996261597
4.495550499999983e-05,899,,,,,,,,,
4.495550499999983e-05,899,,,,,,,,,
4.495550499999983e-05,899,,,,,,,,,
,899,0.21846112608909607,0.07919521629810333,0.07962499558925629,0.024073056876659393,0.022169362753629684,0.01339847780764103,7.0,12,
,922,,,,,,,,12,0.14775815606117249
4.7455254999999786e-05,949,,,,,,,,,
4.7455254999999786e-05,949,,,,,,,,,
4.7455254999999786e-05,949,,,,,,,,,
,949,0.28809037804603577,0.07241767644882202,0.13623389601707458,0.03609349578619003,0.03130757063627243,0.012037714943289757,7.0,13,
,993,,,,,,,,13,0.1691882610321045
4.9955004999999796e-05,999,,,,,,,,,
4.9955004999999796e-05,999,,,,,,,,,
4.9955004999999796e-05,999,,,,,,,,,
,999,0.26838549971580505,0.09267611801624298,0.11310706287622452,0.028111012652516365,0.023888127878308296,0.0106031633913517,7.0,14,
5.245475499999979e-05,1049,,,,,,,,,
5.245475499999979e-05,1049,,,,,,,,,
5.245475499999979e-05,1049,,,,,,,,,
,1049,0.21577252447605133,0.08850996196269989,0.07385063916444778,0.02290096879005432,0.019711781293153763,0.01079916674643755,7.0,14,
,1064,,,,,,,,14,0.1692875325679779
5.4954504999999814e-05,1099,,,,,,,,,
5.4954504999999814e-05,1099,,,,,,,,,
5.4954504999999814e-05,1099,,,,,,,,,
,1099,0.17378155887126923,0.046199411153793335,0.07880949974060059,0.019697662442922592,0.01913410611450672,0.009940877556800842,7.0,15,
,1135,,,,,,,,15,0.17328450083732605
5.745425499999982e-05,1149,,,,,,,,,
5.745425499999982e-05,1149,,,,,,,,,
5.745425499999982e-05,1149,,,,,,,,,
,1149,0.1932496726512909,0.08138352632522583,0.06234603375196457,0.020651940256357193,0.01930716447532177,0.009561002254486084,7.0,16,
5.995400499999984e-05,1199,,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,,
5.995400499999984e-05,1199,,,,,,,,,
,1199,0.18901172280311584,0.058993082493543625,0.08481332659721375,0.017493784427642822,0.01713704690337181,0.010574471205472946,7.0,16,
,1206,,,,,,,,16,0.1126885712146759
